,Unnamed: 0,Text,Likes,Retweets,Date-Time,Date,daily fluc
381,381,"RT @peteratmsr: We've gathered enough computing power with @immunitybio to get to precise models in matter of days, to reveal precisely the…",0,100,2020-04-01 15:59:56+00:00,2020-04-01,-3.973964539387076
382,382,Fantastic to see the creativity of students using Minecraft to maintain the sense of community and belonging that is so important in times like this. https://t.co/1mP1GpSJuN,1015,212,2020-03-31 23:25:24+00:00,2020-03-31,3.454478362317181
383,383,"RT @Azure: Bringing together the power of #Azure and the speed of 5G to create a whole new world of possibilities.

Introducing our new fam…",0,99,2020-03-31 21:11:56+00:00,2020-03-31,3.454478362317181
384,384,"As manufacturers work to accelerate the production of ventilators for the NHS, we're supporting them with access to the latest technology, including mixed reality and collaboration tools. https://t.co/Qh1o6YK8o1",780,212,2020-03-31 14:20:15+00:00,2020-03-31,3.454478362317181
385,385,"With many of us working and learning remotely, it’s never been more important to stay connected and on top of what matters. https://t.co/VB77J5kzw7",713,233,2020-03-30 17:31:55+00:00,2020-03-30,3.454478362317181
388,388,"Great to see how gaming is helping students, teachers and parents connect, learn and stay engaged. https://t.co/6nL5fNaNIG",783,140,2020-03-24 19:15:45+00:00,2020-03-24,6.510667676179138
389,389,"We're partnering with the CDC to make its Coronavirus Self-Checker available to all. In addition to helping users self-assess using CDC's protocols, it will free healthcare workers to provide critical care to those who need it most. https://t.co/i9G9Et6DyS",1817,634,2020-03-23 13:00:12+00:00,2020-03-23,-3.488116553953136
390,390,Coming together to combat COVID-19 https://t.co/cwfksZhKwd,2503,698,2020-03-21 19:23:48+00:00,2020-03-21,-3.488116553953136
392,392,@ocsdltfco @justinchando @AnthonySalcito @MicrosoftTeams Thank you @ocsdltfco and @MissMurdocksLab for your dedication to your students – and for sharing your experience so that others can learn from you.,57,2,2020-03-19 21:12:09+00:00,2020-03-19,2.893015471749938
393,393,RT @Microsoft: Microsoft Teams' 44 million users have generated more than 900 million meeting minutes every day this week. As organizations…,0,418,2020-03-19 16:57:01+00:00,2020-03-19,2.893015471749938
394,394,"The daily workflow of all of our jobs is changing fast, with many working remotely – often for the first time. Here are some of the learnings we’ve had at Microsoft over the past weeks. https://t.co/vvm5d8Og7k",846,345,2020-03-19 00:36:47+00:00,2020-03-19,2.893015471749938
395,395,"As we work to address the impact of COVID-19, the research community is coming together to make everything we know about the virus broadly accessible. https://t.co/JIKR1jxM1k",848,295,2020-03-18 20:54:46+00:00,2020-03-18,2.893015471749938
396,396,"RT @Microsoft365: During this challenging time, it's inspiring to see how @mystlukes is leveraging @MicrosoftTeams to help patients and kee…",0,85,2020-03-11 21:53:01+00:00,2020-03-11,-5.439529215947959
397,397,"As organizations and communities around the world are impacted by COVID-19, we’re learning each day how we can apply technology to be productive, collaborative and maintain a sense of community. https://t.co/tv8t7Ag9fR",1079,328,2020-03-10 22:00:28+00:00,2020-03-10,-5.439529215947959
398,398,"RT @MicrosoftEDU: Thank you for sharing the work you and @UniboMagazine are doing to equip students and faculty with remote learning tools,…",0,54,2020-03-10 00:41:53+00:00,2020-03-10,-5.439529215947959
399,399,"International Women’s Day is an opportunity to celebrate the contributions of women around the world. As @Lindsay_Rae_M shares, understanding intersectionality, embracing allyship and recognizing privilege will help all of us advance inclusion broadly. https://t.co/7y5g7OrcJ6",428,79,2020-03-08 18:24:37+00:00,2020-03-08,-3.559899072005135
400,400,"We are committed to making public health our top priority, while also addressing the economic and societal impact of COVID-19. https://t.co/MglqVdWRGg",4168,963,2020-03-06 01:18:56+00:00,2020-03-06,-5.184794304153839
402,402,"I was energized to meet so many young innovators in India this week, including Namya Joshi who is training teachers around the world on how to use Minecraft as a learning tool. Their empathy, passion and ingenuity will change our world for the better. https://t.co/iF2GxUGkSq",1371,267,2020-02-26 18:15:52+00:00,2020-02-26,-4.820334421595474
